,region,name,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
101,TGO,Togo,11.495620454733512,17.64221571778132,17.73605820208534,16.844601387778212,16.563076897079426,17.31379994144747,16.750750031947987,16.09381931077037,15.108478893286483,12.76243696947468
102,TON,Tonga,22.69086343688309,36.165966570127914,31.579869945492028,26.15825890605498,22.177016950710794,27.202279694431926,28.242647453857927,30.327160665158704,30.653245145809688,32.01955553747744
103,TTO,Trinidad and Tobago,162.9520964597525,220.2630348315263,222.77880973873775,222.62220415185772,252.83637618242096,276.2323681996877,282.273677669505,229.16417225563927,219.20104800311273,334.17399675945853
104,TCA,Turks and Caicos Islands,4831.626504292778,6206.500403076344,6257.329047307258,6626.761360390379,5814.784829217495,5307.066338588223,4893.1527565575325,5271.693912158104,5185.2154027787765,4734.428755224146
105,ARE,United Arab Emirates,302.0132651594704,502.9868943010764,553.8161965342565,629.7031755558717,646.3574353767483,654.6514768000458,646.6310834064568,639.4647765427968,615.7444750395466,619.8470552287918
106,USA,United States,5600.18894887204,9629.798892112709,10212.361512323561,12304.651573545038,14253.687971570063,14520.34842554671,14185.979988254714,13045.377205313245,11958.009436930948,11934.605824907512
107,VUT,Vanuatu,3.0800587416833123,10.093607337213726,12.036672758660782,14.622752741044156,16.253834634644313,17.204514571296105,16.708397668786134,11.37242022000158,17.535734440079153,69.26304733133423
108,VEN,Venezuela,5477.2137814880225,7850.1296441181885,8293.553700327888,8588.531907242066,9276.858900803702,9871.234902924873,9752.72112139544,9598.403037659962,9655.775211737982,10141.20350682511
109,VNM,Vietnam,8354.252255862497,12696.438971715628,13483.075752504577,13844.48542215539,15877.133432865063,17409.835633837607,18056.59419309239,16572.546946105052,16105.684940737292,18209.87939178593
110,VIR,"Virgin Islands, U.S.",16.10924951638095,21.867622761256996,22.181509164482673,22.090961340582204,19.347256660051,18.719059791474237,17.909065179294068,17.59315953336208,19.43870242504221,23.97910336886588
111,YEM,Yemen,246.50406247116314,354.53650511389924,353.71118345674665,357.2694344514666,360.79173350272504,384.63517263483516,394.96570169405527,408.4389211356478,405.7485179647548,442.5332329066627
