,region,name,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain
63,MEX,Mexico,11282.119710135888,17363.896536455948,17211.55109025687,16147.117537557211,14492.253527306615,14556.823263643808,15811.874973253074,18341.967797819936,19753.588019635772,20790.489235296205
64,FSM,Micronesia,12.13638425755906,13.09627569817977,11.843379862779443,3.79526395412694,0.8675569077858115,0.8675569077858115,0.8675569077858115,0.8675569077858115,14.965706851969584,15.641703251013645
65,MOZ,Mozambique,3745.1920548248263,5535.797407081128,5635.003618100156,5735.345077369149,6088.312086533638,6458.533681073315,6877.833163254599,7797.305029827432,8077.78591620475,7415.312049151574
66,MMR,Myanmar,9189.890439469553,12506.913179189734,13642.586836426335,14097.115479283533,15032.518205367967,15814.873679010283,17143.47284470054,19144.969734919952,19764.425306989255,19700.76560890968
67,NCL,New Caledonia,316.38625613082957,589.9402201615616,646.5198416691017,626.5074731442667,556.7233848769731,509.6865825751365,522.1127177948899,685.9592220197665,1031.0159955933834,1280.521620835179
68,NZL,New Zealand,1669.0335267671942,2009.4456202152023,2118.698169620507,2203.4040057306947,2285.932452501561,2382.6559999544183,2450.2651985028783,2509.076715057867,2584.5668175840497,2597.25551725004
69,NIC,Nicaragua,2230.5582546713163,3130.616040306135,3424.6995328120615,3122.6598177431656,1916.33986636458,1511.7614112391245,1740.6188894699783,1935.2066246392942,2019.3386745181792,1905.044280915724
70,NGA,Nigeria,6112.588001310494,8454.867522986951,8618.727302449704,7729.634421435743,7497.535301911559,6633.465604320649,7225.590848089223,6598.617992342022,7435.868163404251,8165.209567858154
71,OMN,Oman,6.806783749383587,11.101610857293768,13.996477504972104,15.483351518368124,13.28699954784498,11.779265285893912,8.238457289248773,6.148485034330349,7.288027833767893,9.63761396542953
72,PAK,Pakistan,1650.334715133439,2249.6812909935134,2173.1698965600353,2041.0608499480254,2175.312211979147,2914.414381235933,3493.4747639349716,3834.749836920643,3389.1029605365484,2370.1254341862573
73,PLW,Palau,53.15566534441666,84.51660864217152,92.05663048487318,85.68745753724055,72.66042449789569,67.20792879058514,91.61891283951576,103.63216781477657,86.41488245743562,77.63647032349775
74,PAN,Panama,2095.26228907477,2773.766919024735,2967.499917077451,2998.9587619172917,2946.6605560415965,2948.9190689131547,2968.90470788921,2909.9235835050945,2686.202041657285,2500.426989953846
75,PNG,Papua New Guinea,4780.534523864346,6267.750230758318,6565.240373618822,6581.688090474497,7190.029035467514,7487.169790888685,7856.695295136346,8333.958470919437,8745.477079619905,8825.142416353206
76,PER,Peru,194.94420720775972,311.0804200724151,350.9860382245706,366.43728948780677,413.88310019906345,503.9479020239893,574.9689808357698,638.6085969367944,648.6665224764549,608.877941738725
77,PHL,Philippines,5530.744130022527,8190.123441194431,8564.707077704996,8626.698588051771,8899.568609719741,9353.794355181066,9710.938444055111,11025.714176042686,12255.784865366064,12683.161861370376
78,PRI,Puerto Rico,388.84813817832094,536.5307795794656,452.04947934292574,396.44947282983424,332.4871666439857,323.8259657636755,329.6957468207006,306.4888083285615,228.97751750115424,219.4014741198779
79,QAT,Qatar,7.071882927480598,13.794650062094586,10.02229962292298,9.145712829716839,7.775047350738623,13.672867469642542,17.075816627506203,32.529262039262605,36.969240363032,36.80064480326722
80,COG,Republic of Congo,17.758481485161116,24.16366184064084,27.123756807681076,24.504306176989402,19.361288621530726,18.099897196192927,19.555632716849228,24.311050960353295,31.055967111975804,33.43379584101696
81,KNA,Saint Kitts and Nevis,1.6273390731074766,3.4871076982210156,3.2081829025056945,3.2546601820037906,2.2783004355891943,1.5808840624794316,1.2553818148626736,1.162387943242808,1.999475391156837,2.371500301950009
82,LCA,Saint Lucia,0.803839745883677,1.087546847988449,0.8984276004137187,0.8511427119859675,0.898404749089846,0.7092064818355902,0.33093472387473605,0.6618971275081132,1.0874536869822957,1.1347146327491335
83,VCT,Saint Vincent and the Grenadines,0.37987326746320355,0.6171499657152204,1.13941114696952,1.092028692167784,1.0445790524303933,0.6645272964775917,0.5695133448791037,0.8070031309492105,1.2817795323648267,1.8510824608687724
84,MAF,Saint-Martin,0.0,0.0,0.1389092831723206,0.1389092831723206,0.1389092831723206,0.1389092831723206,0.09260618878154706,0.04630309439077353,0.0,0.0
85,WSM,Samoa,4.536588450887914,7.513759910787604,9.025789127011164,8.033763978433436,7.93937931909426,6.805259415132513,6.143848678843719,3.9705465768417425,5.627825570913808,6.762260662910533
86,SAU,Saudi Arabia,2006.4604734985978,2598.166856437483,2340.9197456217253,1315.1004064935846,369.213530830328,287.96732638542375,311.56296812748764,293.0089359609256,316.6758687818658,345.1952862561546
87,SEN,Senegal,3622.3639130667093,4389.616778227204,4469.639366944931,4298.49603920293,4093.7835195751036,3959.696131450667,4053.213942019879,4202.625546191995,4162.617759301935,4115.937802053913
88,SYC,Seychelles,0.9697285503766868,0.9697285503766868,1.1151776247794614,0.8727672052788933,0.8243080400695926,0.4364072680469427,0.581865004443426,0.5818377249468292,0.9697372422840425,0.9212528911198619
89,SLE,Sierra Leone,1308.0798411881854,1824.644179173896,2079.9532722492736,1936.7567322948087,1930.994311889842,1873.906451048673,2069.8890649405366,2021.1087170822352,1755.6209816218225,1541.2270673465755
90,SGP,Singapore,3.793307468317389,7.100275600819467,9.434613967162377,10.115501569774016,7.829843173636359,4.911883547731977,6.17634764617101,12.936270280370497,17.896770545928064,21.446864427177985
91,SLB,Solomon Islands,734.7073816655931,1175.1354700141014,1290.435446768458,1203.8797406677227,1055.4361697815743,960.1374549636911,941.8771303267109,1131.1291299146756,1526.5747665695844,1628.000079085717
92,SOM,Somalia,47.50796345441324,69.86336243565563,77.4419486181691,80.83652119531293,79.57354664702244,82.64363443337984,84.98731210988754,88.48906362685031,91.01330308809686,94.19937240909644
93,ZAF,South Africa,186.67223005357752,221.44179907499336,226.03229202310115,239.9418980069741,276.3120667447039,278.5999704557904,286.6609391155523,296.28875381268756,298.63287844974434,288.1148973775756
